stamp_sec,topic,type,value
1773931118.5579927,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1773931118.5582395,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13579
1773931118.558572,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,78.27206420898438
1773931118.665637,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,28
1773931118.6658974,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13592
1773931118.6660647,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,77.75798797607422
1773931118.7771354,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1773931118.7773042,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13594
1773931118.7774153,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,79.50765991210938
1773931118.888597,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1773931118.8888159,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13623
1773931118.8889258,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,80.52787780761719
1773931118.9998007,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,28
1773931119.000102,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13582
1773931119.0003033,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,81.0707778930664
1773931119.1099372,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1773931119.1101413,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13594
1773931119.1102836,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,78.45447540283203
1773931120.837296,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,70
1773931120.8375337,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57798
1773931120.8377454,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,434.5846252441406
1773931121.3101382,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,67
1773931121.3104084,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57786
1773931121.3106093,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,418.1043395996094
1773931121.8160791,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,67
1773931121.8162777,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57680
1773931121.8164315,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,419.5837707519531
1773931122.330289,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,71
1773931122.3304553,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57734
1773931122.3306127,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,430.4407043457031
1773931122.8222358,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,74
1773931122.822453,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57654
1773931122.8226585,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,427.0152893066406
1773931123.3048916,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,64
1773931123.3050945,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57691
1773931123.3052227,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,418.1949157714844
1773931123.8171036,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,77
1773931123.8172877,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57711
1773931123.8174355,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,430.562744140625
1773931124.2997985,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,68
1773931124.3000305,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57660
1773931124.3001485,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,417.9178771972656
1773931124.8042924,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,68
1773931124.804472,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57744
1773931124.8046439,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,416.9537353515625
1773931125.3045166,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,65
1773931125.3047206,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57684
1773931125.3048847,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,417.21551513671875
1773931125.8300438,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,58
1773931125.8302152,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57776
1773931125.8303688,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,430.2699279785156
1773931126.3075233,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,73
1773931126.307728,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57641
1773931126.307869,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,431.6578674316406
1773931126.8054,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,66
1773931126.8056066,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57670
1773931126.8057623,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,411.6642150878906
1773931127.1841216,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,66
1773931127.1842678,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57664
1773931127.1843667,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,323.0626525878906
1773931127.52698,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,68
1773931127.527114,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57785
1773931127.5272076,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,263.56646728515625
1773931127.8449318,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,65
1773931127.8450654,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57786
1773931127.8451564,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,231.5133819580078
1773931129.2821057,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,65
1773931129.2822268,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57658
1773931129.2822933,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,219.44326782226562
1773931129.601302,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,67
1773931129.60143,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57659
1773931129.6015165,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,229.2158660888672
1773931129.8981957,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,76
1773931129.89834,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57655
1773931129.8984594,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,231.03598022460938
1773931130.4859805,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,65
1773931130.4860942,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57631
1773931130.4861686,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,218.11062622070312
1773931131.3864365,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,76
1773931131.3865833,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57832
1773931131.3866448,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,215.09336853027344
1773931132.591028,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,70
1773931132.591188,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57656
1773931132.5951552,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,223.20542907714844
1773931133.2421923,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,68
1773931133.2423775,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57667
1773931133.2425344,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,241.10964965820312
1773931133.539392,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,62
1773931133.5395277,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57672
1773931133.5396202,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,239.8493194580078
1773931133.8471026,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,74
1773931133.8472254,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57755
1773931133.8472953,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,239.38401794433594
1773931134.4288325,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,64
1773931134.428954,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,57702
1773931134.4290442,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,230.58050537109375
