stamp_sec,topic,type,value
1774021423.9916432,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774021423.991918,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20875
1774021423.9920805,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,149.14340209960938
1774021424.1836693,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,48
1774021424.1838741,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20838
1774021424.184008,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,119.46631622314453
1774021424.3977454,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,45
1774021424.397899,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20926
1774021424.3979878,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,118.25418853759766
1774021424.6127841,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,53
1774021424.6129885,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20869
1774021424.6131272,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,117.9067153930664
1774021424.8221629,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,53
1774021424.8225207,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20916
1774021424.8226612,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,115.26873016357422
1774021425.0384815,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774021425.0386808,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20866
1774021425.0388074,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,119.94831085205078
1774021425.249227,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,54
1774021425.2495205,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20814
1774021425.2496254,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,117.26881408691406
1774021425.4616208,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,52
1774021425.4618912,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20808
1774021425.4619963,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,117.80758666992188
1774021425.672672,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774021425.6728573,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20709
1774021425.6729674,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,116.18794250488281
1774021425.8797853,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,51
1774021425.8800132,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,113.58113861083984
1774021425.8804944,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20578
1774021426.0902975,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,51
1774021426.0904698,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20480
1774021426.090563,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,115.23481750488281
1774021426.3022442,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,50
1774021426.3024912,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20313
1774021426.3025842,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,110.37580108642578
1774021426.5176828,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,46
1774021426.517871,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,20357
