stamp_sec,topic,type,value
1768483352.476651,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483352.476651,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483352.476651,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,112.61688232421875
1768483352.601644,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483352.601644,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483352.601644,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,115.64165496826172
1768483352.6516588,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1768483352.6516588,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,18497
1768483352.6516588,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,276.3618469238281
1768483352.8016534,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1768483352.8016534,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,11735
1768483352.8016534,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,146.0272979736328
1768483352.926656,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,5
1768483352.926656,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483352.926656,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,117.82649230957031
1768483353.0016468,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1768483353.0016468,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15281
1768483353.0016468,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,202.44361877441406
1768483353.0266423,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483353.0266423,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483353.0266423,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,117.1623306274414
1768483353.1516466,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483353.1516466,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483353.1516466,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,115.07623291015625
1768483353.2766426,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,6
1768483353.2766426,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483353.2766426,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,116.92249298095703
1768483353.2766426,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1768483353.2766426,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,18681
