stamp_sec,topic,type,value
1774009984.767563,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,21
1774009984.7677617,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15124
1774009984.7679257,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,127.02670288085938
1774009984.8946216,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,21
1774009984.8947964,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15119
1774009984.8949635,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,125.77809143066406
1774009985.0385728,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,19
1774009985.0388262,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15085
1774009985.0390704,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,121.90719604492188
1774009985.1632576,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,24
1774009985.163476,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15110
1774009985.1636267,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,124.19473266601562
1774009985.291551,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,23
1774009985.2918017,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15050
1774009985.2919152,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,127.66875457763672
1774009985.4351838,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,17
1774009985.4354076,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15072
1774009985.4355314,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,120.57737731933594
1774009985.5553055,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,21
1774009985.5554936,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15092
1774009985.5556278,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,119.71456146240234
1774009985.6818428,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,23
1774009985.6821504,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,15132
1774009985.6822653,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,125.92583465576172
1774009986.057752,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,43
