stamp_sec,topic,type,value
1774528919.3411152,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774528919.341343,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,69.580322265625
1774528919.341828,/metrics/dbscan/back/detections_count,std_msgs/msg/Int32,10
1774528919.341913,/metrics/dbscan/back/points_in,std_msgs/msg/Int32,4573
1774528919.3419929,/metrics/dbscan/back/processing_ms,std_msgs/msg/Float32,114.79419708251953
1774528919.342071,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6458
1774528919.3421474,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,11
1774528919.3422372,/metrics/dbscan/right/points_in,std_msgs/msg/Int32,6910
1774528919.3423176,/metrics/dbscan/right/processing_ms,std_msgs/msg/Float32,371.60321044921875
1774528919.3598742,/metrics/dbscan/left/detections_count,std_msgs/msg/Int32,12
1774528919.3599985,/metrics/dbscan/left/points_in,std_msgs/msg/Int32,8150
1774528919.3600671,/metrics/dbscan/left/processing_ms,std_msgs/msg/Float32,70.41741943359375
1774528919.3918622,/metrics/dbscan/back/detections_count,std_msgs/msg/Int32,10
1774528919.3919923,/metrics/dbscan/back/points_in,std_msgs/msg/Int32,4640
1774528919.3920686,/metrics/dbscan/back/processing_ms,std_msgs/msg/Float32,49.08531188964844
1774528919.4281929,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,11
1774528919.4283354,/metrics/dbscan/right/points_in,std_msgs/msg/Int32,6960
1774528919.4284122,/metrics/dbscan/right/processing_ms,std_msgs/msg/Float32,58.631290435791016
1774528919.441854,/metrics/dbscan/back/detections_count,std_msgs/msg/Int32,11
1774528919.4420142,/metrics/dbscan/back/points_in,std_msgs/msg/Int32,4702
1774528919.4421024,/metrics/dbscan/back/processing_ms,std_msgs/msg/Float32,49.241661071777344
1774528919.4559455,/metrics/dbscan/left/detections_count,std_msgs/msg/Int32,12
1774528919.4560707,/metrics/dbscan/left/points_in,std_msgs/msg/Int32,8126
1774528919.456146,/metrics/dbscan/left/processing_ms,std_msgs/msg/Float32,95.0010986328125
1774528919.524345,/metrics/dbscan/left/detections_count,std_msgs/msg/Int32,12
