stamp_sec,topic,type,value
1774012187.2021794,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774012187.2023425,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26573
1774012187.20242,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.68961334228516
1774012187.312141,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,56
1774012187.3122501,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26794
1774012187.312314,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,85.68358612060547
1774012187.4324393,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,45
1774012187.4325447,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26491
1774012187.4325979,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.54293823242188
1774012187.583789,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,46
1774012187.5839174,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26556
1774012187.583994,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,92.69245147705078
1774012187.6885962,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,59
1774012187.6887176,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26767
1774012187.6887994,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,84.44963073730469
1774012187.8072085,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,48
1774012187.8073158,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26549
1774012187.8073797,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,88.97634887695312
1774012187.9225364,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,44
1774012187.922649,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26589
1774012187.9227173,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,89.56906127929688
1774012188.0369632,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,46
1774012188.0370777,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26554
1774012188.0371401,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.97518157958984
1774012188.1499016,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,43
1774012188.1500165,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26573
1774012188.1500819,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,92.51567840576172
1774012188.1921992,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,35
1774012188.1922977,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,12974
1774012188.1923523,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.9112434387207
1774012188.3152542,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,46
1774012188.315379,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26531
1774012188.3154562,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,88.60017395019531
1774012188.428575,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,42
1774012188.4286962,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26557
1774012188.4287496,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,88.9382095336914
1774012188.5423841,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,53
1774012188.5424948,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26663
1774012188.5425582,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,90.84718322753906
1774012188.5842562,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,33
1774012188.5843668,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,12981
1774012188.5844278,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.50676727294922
1774012188.70891,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,43
1774012188.7090228,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26553
1774012188.7090864,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,88.63379669189453
1774012189.2521284,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,51
1774012189.252239,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26563
1774012189.2523034,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,88.49227142333984
1774012189.4854538,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,51
1774012189.4855685,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37692
1774012189.4856367,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,142.39405822753906
1774012189.5772974,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,42
1774012189.5774257,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26597
1774012189.577496,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,90.98104858398438
1774012189.785009,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,43
1774012189.7851255,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37574
1774012189.7851887,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,143.3451385498047
1774012189.8749266,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,41
1774012189.8750403,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26606
1774012189.8751037,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,89.21760559082031
1774012189.91741,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,37
1774012189.917515,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,12999
1774012189.9175756,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,42.10088348388672
1774012190.1157033,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,50
1774012190.1158175,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37508
1774012190.115893,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,141.2111358642578
1774012190.288923,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774012190.2890356,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37535
1774012190.2890985,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,144.46261596679688
1774012190.3806565,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,44
1774012190.3807728,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26562
1774012190.380841,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.00154876708984
1774012190.4238877,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,38
1774012190.4239974,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13008
1774012190.4240532,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,42.86715316772461
1774012190.6181371,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,51
1774012190.618235,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37601
1774012190.6182868,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,141.4035186767578
1774012190.8854904,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,57
1774012190.8856401,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37529
1774012190.8857083,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,143.9593505859375
1774012190.977692,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,52
1774012190.9778006,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26587
1774012190.9778533,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.28282165527344
1774012191.0211275,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,36
1774012191.0212355,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13032
1774012191.0212996,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,43.124107360839844
1774012191.2169414,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,50
1774012191.2170484,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37454
1774012191.2171152,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,139.6416778564453
1774012191.5485432,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,44
1774012191.5486565,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26579
1774012191.548721,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,91.08599853515625
1774012191.591796,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,36
1774012191.5919278,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13016
1774012191.5919986,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,42.76421356201172
1774012191.8223498,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,47
1774012191.8224885,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37345
1774012191.822563,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,144.25799560546875
1774012192.09329,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,49
1774012192.0934029,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,37295
1774012192.0934815,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,145.76414489746094
1774012192.1828444,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,47
1774012192.1829631,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26565
1774012192.183028,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,89.03968048095703
1774012192.4491477,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,43
1774012192.4492455,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,26555
