stamp_sec,topic,type,value
1774006329.505671,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006329.5058086,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,9832
1774006329.5059018,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,102.99333953857422
1774006329.6743844,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1774006329.674495,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13795
1774006329.674561,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,133.26841735839844
1774006329.8111339,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,10
1774006329.8112538,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,14779
1774006329.8113227,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,136.23800659179688
1774006329.9411957,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1774006329.9413025,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13738
1774006329.9413586,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,129.53265380859375
1774006330.0736957,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1774006330.073853,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13803
1774006330.0739298,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.9989013671875
1774006330.205377,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006330.2055137,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13820
1774006330.2056134,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.0596923828125
1774006330.3468406,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006330.3469799,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13873
1774006330.347053,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,141.127685546875
1774006330.4951093,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1774006330.495229,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13807
1774006330.4953208,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,147.81703186035156
1774006330.583171,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006330.5832798,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,9815
1774006330.5833342,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,87.76589965820312
1774006330.7154264,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1774006330.7155502,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.96804809570312
1774006330.7157695,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13772
1774006330.8453937,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006330.8455148,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13793
1774006330.8455884,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,129.64784240722656
1774006330.9757607,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1774006330.9759212,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13752
1774006330.9759953,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,129.9600067138672
