stamp_sec,topic,type,value
1770210376.0989027,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1770210376.0989027,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.0989027,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.51713562011719
1770210376.1239088,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.1239088,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.1239088,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.6211166381836
1770210376.323905,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1770210376.323905,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.323905,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.61066436767578
1770210376.361401,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210376.361401,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.361401,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.7659683227539
1770210376.4364007,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210376.4364007,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.4364007,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.76435089111328
1770210376.5363955,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210376.5363955,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.5363955,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,70.32440948486328
1770210376.6489153,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.6489153,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.6489153,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,81.86582946777344
1770210376.7364106,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210376.7364106,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.7364106,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.74479675292969
1770210376.8364127,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,32
1770210376.8364127,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.8364127,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.16722106933594
1770210376.9363985,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.9363985,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.9363985,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,73.32437133789062
1770210377.0363898,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.0363898,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.0363898,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,71.70596313476562
1770210377.136383,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,35
1770210377.136383,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.136383,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,69.95341491699219
1770210377.2363875,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210377.2363875,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.2363875,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,71.25147247314453
1770210377.3363912,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.3363912,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.3363912,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,71.54273986816406
1770210377.4488895,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1770210377.4488895,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.4488895,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.19952392578125
1770210377.536393,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210377.536393,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.536393,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.61734771728516
1770210377.6488926,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1770210377.6488926,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.6488926,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,83.739013671875
1770210377.736407,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210377.736407,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.736407,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.79407501220703
1770210377.8363838,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.8363838,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.8363838,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.0072021484375
1770210377.9363873,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1770210377.9363873,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.9363873,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,72.09941101074219
1770210378.036391,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210378.036391,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.036391,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,70.9831314086914
1770210378.1363845,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210378.1363845,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.1363845,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,70.6050033569336
1770210378.2363849,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,32
1770210378.2363849,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.2363849,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,69.67086029052734
1770210378.3363843,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1770210378.3363843,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.3363843,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,70.02235412597656
1770210378.436615,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,32
1770210378.436615,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.436615,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,70.27936553955078
1770210378.5363848,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210378.5363848,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.5363848,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,69.82723236083984
