stamp_sec,topic,type,value
1771415108.8720667,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1771415108.87224,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415108.8723655,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,89.6048355102539
1771415108.9658437,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1771415108.9660072,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415108.9661233,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,84.9077377319336
1771415109.167549,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1771415109.167653,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415109.1677165,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,85.62964630126953
1771415109.364151,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1771415109.3642533,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415109.3643105,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,80.64305877685547
1771415109.5572717,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1771415109.557405,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415109.5574706,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,81.14908599853516
1771415109.7607296,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1771415109.7608373,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415109.7608995,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,82.18924713134766
1771415109.9622264,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1771415109.962355,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415109.9624264,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,80.24280548095703
1771415110.1614964,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1771415110.1616044,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415110.1616683,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,79.87516021728516
1771415110.3650343,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,32
1771415110.3651283,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415110.3651829,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,81.5215072631836
1771415110.5564964,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1771415110.556607,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415110.5566688,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,79.66827392578125
1771415110.7593818,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1771415110.7594957,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415110.7595565,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,80.13074493408203
1771415110.9612505,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,35
1771415110.9613702,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415110.9614353,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,79.3821792602539
1771415111.1608462,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1771415111.160956,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415111.1610148,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,79.99542999267578
1771415111.3720195,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1771415111.372148,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415111.3722284,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,88.9421615600586
1771415111.5639462,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1771415111.564081,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415111.5641985,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.94086456298828
1771415111.7552075,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1771415111.7553911,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415111.7554708,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.73812103271484
1771415111.9611454,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1771415111.9612515,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1771415111.9613068,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,83.0367202758789
1771415112.161854,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
