stamp_sec,topic,type,value
1774013087.5604467,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,22
1774013087.5605886,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13696
1774013087.5606558,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,42.52994155883789
1774013087.6416118,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,22
1774013087.6417317,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13720
1774013087.6417978,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.46682357788086
1774013087.7421618,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,24
1774013087.742272,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13709
1774013087.7423358,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.089256286621094
1774013087.8413184,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,25
1774013087.8414233,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13703
1774013087.8414876,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,40.28010940551758
1774013087.9407516,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,24
1774013087.9408648,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13754
1774013087.9409425,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.41831970214844
1774013088.0400617,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,24
1774013088.040174,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13736
1774013088.040237,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,41.152076721191406
1774013088.2392237,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,40
1774013088.2393277,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,25297
1774013088.2393873,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,84.06402587890625
1774013088.2800593,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,22
1774013088.2801774,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,11596
1774013088.2802515,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,40.17745590209961
1774013088.9505622,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,58
1774013088.9506733,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,38132
1774013088.9507434,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,143.74574279785156
1774013088.996151,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,34
1774013088.996299,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,44.6501579284668
1774013088.9966254,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,13080
1774013089.0901494,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,42
1774013089.090293,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,24579
