stamp_sec,topic,type,value
1768483352.4266639,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,4
1768483352.4266639,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1768483352.4266639,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,75.02611541748047
1768483352.4766495,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483352.4766495,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483352.4766495,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,112.35337829589844
1768483352.5016382,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,4
1768483352.5016382,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1768483352.5016382,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,71.68082427978516
1768483352.526676,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,1
1768483352.526676,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1768483352.526676,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,66.79823303222656
1768483352.5516822,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,4
1768483352.5516822,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1768483352.5516822,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,70.65631866455078
1768483352.6016476,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,4
1768483352.6016476,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22128
1768483352.6016476,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,114.7169418334961
1768483352.6516247,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,7
1768483352.6516247,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,18497
1768483352.6516247,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,276.35772705078125
1768483352.8016353,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,6
1768483352.8016353,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,11735
1768483352.8016353,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,144.16871643066406
1768483352.8766532,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,1
1768483352.8766532,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1768483352.8766532,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,63.6384391784668
