stamp_sec,topic,type,value
1770210376.1489642,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.1489642,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.1489642,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,93.60054779052734
1770210376.248945,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1770210376.248945,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.248945,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,91.39866638183594
1770210376.348923,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210376.348923,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.348923,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,88.63906860351562
1770210376.4364252,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210376.4364252,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.4364252,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.6263198852539
1770210376.548914,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210376.548914,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.548914,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.92596435546875
1770210376.6489344,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.6489344,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.6489344,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.86377716064453
1770210376.7489245,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210376.7489245,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.7489245,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.83598327636719
1770210376.8489242,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,32
1770210376.8489242,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.8489242,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,81.61190795898438
1770210376.9364529,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,34
1770210376.9364529,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210376.9364529,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,75.84872436523438
1770210377.0364208,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.0364208,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.0364208,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.20913696289062
1770210377.1489308,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,35
1770210377.1489308,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.1489308,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.54949188232422
1770210377.248932,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210377.248932,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.248932,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.06571197509766
1770210377.348943,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.348943,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.348943,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,80.02301025390625
1770210377.4489193,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1770210377.4489193,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.4489193,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.1613998413086
1770210377.5364182,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1770210377.5364182,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.5364182,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,76.65061950683594
1770210377.6489341,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,30
1770210377.6489341,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.6489341,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,80.05506134033203
1770210377.7489269,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210377.7489269,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.0683364868164
1770210377.7489269,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.8489385,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210377.8489385,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.8489385,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.2441177368164
1770210377.9489233,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1770210377.9489233,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210377.9489233,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.5901107788086
1770210378.0364285,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,33
1770210378.0364285,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.0364285,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,77.56212615966797
1770210378.1489336,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
1770210378.1489336,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1770210378.1489336,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,78.97140502929688
